Total configs generated: 642978
Total configs: 642978
Already evaluated: 168238
New configs to evaluate: 592503
------------------------------------------------------------
[4450/592503 |   0.75%] Best: 144.252760 | Elapsed:  10.2 min | ETA: 1344.2 min | Rate:  7.29 cfg/s
[4475/592503 |   0.76%] Best: 144.252760 | Elapsed:  10.3 min | ETA: 1351.3 min | Rate:  7.25 cfg/s
[4500/592503 |   0.76%] Best: 144.252760 | Elapsed:  10.3 min | ETA: 1350.7 min | Rate:  7.26 cfg/s
[4525/592503 |   0.76%] Best: 144.252760 | Elapsed:  10.5 min | ETA: 1360.1 min | Rate:  7.21 cfg/s
[4550/592503 |   0.77%] Best: 144.252760 | Elapsed:  10.6 min | ETA: 1364.6 min | Rate:  7.18 cfg/s
[4575/592503 |   0.77%] Best: 144.252760 | Elapsed:  10.7 min | ETA: 1371.4 min | Rate:  7.14 cfg/s
[4600/592503 |   0.78%] Best: 144.252760 | Elapsed:  10.7 min | ETA: 1369.1 min | Rate:  7.16 cfg/s
[4625/592503 |   0.78%] Best: 144.252760 | Elapsed:  10.9 min | ETA: 1380.8 min | Rate:  7.10 cfg/s
[4650/592503 |   0.78%] Best: 144.252760 | Elapsed:  10.9 min | ETA: 1377.4 min | Rate:  7.11 cfg/s
[4675/592503 |   0.79%] Best: 144.252760 | Elapsed:  11.0 min | ETA: 1389.1 min | Rate:  7.05 cfg/s
[4700/592503 |   0.79%] Best: 144.252760 | Elapsed:  11.1 min | ETA: 1389.1 min | Rate:  7.05 cfg/s
[4725/592503 |   0.80%] Best: 144.252760 | Elapsed:  11.2 min | ETA: 1396.5 min | Rate:  7.01 cfg/s
[4750/592503 |   0.80%] Best: 144.252760 | Elapsed:  11.3 min | ETA: 1400.2 min | Rate:  7.00 cfg/s
[4775/592503 |   0.81%] Best: 144.252760 | Elapsed:  11.4 min | ETA: 1403.8 min | Rate:  6.98 cfg/s
[4800/592503 |   0.81%] Best: 144.252760 | Elapsed:  11.5 min | ETA: 1408.8 min | Rate:  6.95 cfg/s
[4825/592503 |   0.81%] Best: 144.252760 | Elapsed:  11.6 min | ETA: 1412.4 min | Rate:  6.93 cfg/s
[4850/592503 |   0.82%] Best: 144.252760 | Elapsed:  11.7 min | ETA: 1417.3 min | Rate:  6.91 cfg/s
[4875/592503 |   0.82%] Best: 144.252760 | Elapsed:  11.8 min | ETA: 1419.9 min | Rate:  6.90 cfg/s
[4900/592503 |   0.83%] Best: 144.252760 | Elapsed:  11.9 min | ETA: 1430.1 min | Rate:  6.85 cfg/s
[4925/592503 |   0.83%] Best: 144.252760 | Elapsed:  11.9 min | ETA: 1424.1 min | Rate:  6.88 cfg/s
[4950/592503 |   0.84%] Best: 144.252760 | Elapsed:  12.0 min | ETA: 1427.2 min | Rate:  6.86 cfg/s
[4975/592503 |   0.84%] Best: 144.252760 | Elapsed:  12.0 min | ETA: 1422.5 min | Rate:  6.88 cfg/s
[5000/592503 |   0.84%] Best: 144.252760 | Elapsed:  12.1 min | ETA: 1425.5 min | Rate:  6.87 cfg/s
[5025/592503 |   0.85%] Best: 144.252760 | Elapsed:  12.2 min | ETA: 1420.6 min | Rate:  6.89 cfg/s
[5050/592503 |   0.85%] Best: 144.252760 | Elapsed:  12.2 min | ETA: 1422.0 min | Rate:  6.89 cfg/s
[5075/592503 |   0.86%] Best: 144.252760 | Elapsed:  12.3 min | ETA: 1420.8 min | Rate:  6.89 cfg/s
